p / P  1 12
b / B  1 9 12
t / T  1 15 16
d / D  1 9 15 16
k / K  1 20 21
g / G  1 9 20 21
f / F  1 3 4 12 14
v / V  1 3 4 9 12 14
θ / TH  1 3 4 15 16 17
ð / DH  1 3 4 9 15 16 17
s / S  1 3 4 15 16 18
z / Z  1 3 4 9 15 16 18
tʃ / CH  1 4 15 17 18
dʒ / JH  1 4 9 15 17 18
ʃ / SH  1 3 4 15 17 18
ʒ / ZH  1 3 4 9 15 17 18
m / M  1 2 8 9 12 
n / N  1 2 8 9 15 16
ŋ / NG  1 2 8 9 20 21
l / L  1 2 3 5 9 15 16 19
r / R  1 2 3 5 7 9 15 16
j / Y  2 3 5 9 20 21 23 25
w / W  2 3 5 9 12 13 20 21 24 25
h / HH  3 4 10 
i / IY  2 3 5 9 21 23 25 26
ɪ / IH  2 3 5 9 21 23 26
æ / AE  2 3 5 9 22 23 26
ɑ / AA  2 3 5 9 22 24 26
ɔ / AO  2 3 5 9 13 24 26
ʊ / UH  2 3 5 9 13 21 24 26
u / UW  2 3 5 9 13 21 24 25 26
ʌ / AH  2 3 5 9 24 26
ə / SCHWA  2 3 5 9 26
e / EH  2 3 5 9 23 25 26
ɹ / ER  2 3 5 9 15 17 
aʊ / AW  2 3 5 9 13 21 22 23 24 26 27
aɪ / AY  2 3 5 9 21 22 23 26 27
eɪ / EY  2 3 5 9 21 23 25 26 27
əʊ / OW  2 3 5 9 13 21 24 26 27
ɔɪ / OY  2 3 5 9 13 21 23 24 26 27
